Policies,T1,T2,T3,T4,T5,TAv,SD,MUD File Size
2,1.569584,1.541198,1.56583,1.523958,1.527969,1.5457078,0.0211129876,4412
20,3.040573,3.368125,2.874688,3.408177,3.158542,3.170021,0.2236479422,32712
40,4.956615,4.160052,6.24349,6.15359,4.68333,5.2394154,0.9216986207,64172
